tissue	gene_id	SYMBOL	DEG_group	WGC_group
chuiti	ENSGALG00010024495	CLDN5	Up	
chuiti	ENSGALG00010017806	CELA3B	Down	
chuiti	ENSGALG00010024963	TNFRSF6B	Down	
chuiti	ENSGALG00010026906	CLPS	Down	
chuiti	ENSGALG00010028912	EXFABP	Down	
chuiti	ENSGALG00010015186	FDX1B	Down	
chuiti	ENSGALG00010023723	KLK7	Down	
chuiti	ENSGALG00010020995		Up	
chuiti	ENSGALG00010021935	CETP	Down	
chuiti	ENSGALG00010020384		Down	
chuiti	ENSGALG00010023635	SCN4A	Down	
chuiti	ENSGALG00010023187	LOC772158	Down	
chuiti	ENSGALG00010001751	AVPR2C	Down	
ganzang	ENSGALG00010015842		Down	
ganzang	ENSGALG00010021935	CETP	Down	
ganzang	ENSGALG00010013954	LPL	Down	
ganzang	ENSGALG00010017804	DUSP5	Down	
ganzang	ENSGALG00010020835	PTGR2	Up	
ganzang	ENSGALG00010000404	RASAL1	Up	
ganzang	ENSGALG00010028443	TMEM221	Up	
ganzang	ENSGALG00010025613	CDKN1A	Down	
ganzang	ENSGALG00010019989	SLC6A14	Down	
ganzang	ENSGALG00010009106	THSD7B	Up	up
ganzang	ENSGALG00010022401	LCAT	Down	
ganzang	ENSGALG00010029387	SERPINF1	Down	up
ganzang	ENSGALG00010006585	TTC29	Up	
ganzang	ENSGALG00010010866		Up	
ganzang	ENSGALG00010025044	TMEM9	Up	
ganzang	ENSGALG00010021184	DRAXIN	Up	
ganzang	ENSGALG00010013715	IL1R1	Down	
ganzang	ENSGALG00010024773	APOA1	Down	
ganzang	ENSGALG00010014529		Up	
ganzang	ENSGALG00010015087	GABRA3	Up	
ganzang	ENSGALG00010019247	HBZ	Up	up
ganzang	ENSGALG00010022818		Up	
ganzang	ENSGALG00010028562	ACSBG2	Up	up
ganzang	ENSGALG00010029702	CORO6	Up	
ganzang	ENSGALG00010029765	KCNJ16	Up	
ganzang	ENSGALG00010009118	ACTN2	Up	
ganzang	ENSGALG00010020306		Up	
ganzang	ENSGALG00010017970	AMPH	Down	
ganzang	ENSGALG00010006991		Down	
ganzang	ENSGALG00010030076		Up	
ganzang	ENSGALG00010000806	C5orf49	Up	
ganzang	ENSGALG00010007018		Up	
ganzang	ENSGALG00010020002		Up	
ganzang	ENSGALG00010030073		Up	
ganzang	ENSGALG00010027319	MST1R	Up	
ganzang	ENSGALG00010002603	INSYN2A	Down	
ganzang	ENSGALG00010013979		Up	
ganzang	ENSGALG00010008376	MMRN1	Up	
ganzang	ENSGALG00010023229	HKDC1	Up	
ganzang	ENSGALG00010025650	PPP1R1A	Down	
ganzang	ENSGALG00010003325	LOC107057061	Up	
ganzang	ENSGALG00010004222	SPAG6	Down	
ganzang	ENSGALG00010025671	CHDSD	Down	
ganzang	ENSGALG00010026789		Down	
ganzang	ENSGALG00010025343	B2	Down	
ganzang	ENSGALG00010020693	PTGFR	Down	
ganzang	ENSGALG00010029778	DOC2B	Up	up
ganzang	ENSGALG00010005684		Up	
ganzang	ENSGALG00010004748	LOC124417804	Up	
ganzang	ENSGALG00010017409	GPC3	Up	
ganzang	ENSGALG00010015272		Up	
ganzang	ENSGALG00010029239	RBFOX3	Up	
ganzang	ENSGALG00010000562		Up	
ganzang	ENSGALG00010000865		Up	
ganzang	ENSGALG00010024950	NCAM1	Down	
ganzang	ENSGALG00010022828	PRKG1	Up	
ganzang	ENSGALG00010021630	VTG1	Up	
ganzang	ENSGALG00010009112	LOC771456	Up	
ganzang	ENSGALG00010023082		Up	
ganzang	ENSGALG00010015677	GRHL3	Up	
ganzang	ENSGALG00010020431		Up	
ganzang	ENSGALG00010002282	TSKU	Down	
ganzang	ENSGALG00010027783		Up	
ganzang	ENSGALG00010000145	PRODH	Down	
ganzang	ENSGALG00010029236	ENPP7	Up	
ganzang	ENSGALG00010005790	MUSK	Up	
ganzang	ENSGALG00010023995		Up	
ganzang	ENSGALG00010009640	NPR2	Down	
ganzang	ENSGALG00010029907	NTN1	Up	
ganzang	ENSGALG00010011423	GDF6	Up	
ganzang	ENSGALG00010007205		Up	
ganzang	ENSGALG00010011197		Up	
ganzang	ENSGALG00010004134		Up	
ganzang	ENSGALG00010020498	FRMPD2	Up	
ganzang	ENSGALG00010027231	ATP2B2	Up	
ganzang	ENSGALG00010021303		Up	
ganzang	ENSGALG00010023439	ACSS2	Down	
ganzang	ENSGALG00010014207		Up	
ganzang	ENSGALG00010012330	RFX6	Down	
ganzang	ENSGALG00010004256	DSC1	Up	up
