Gene	Tissue	Group	GWAS	TWAS_SMR
CELA3B	Pituitary	Down	NA	NA
EXFABP	Pituitary	Down	NA	NA
CETP	Pituitary	Down	11__1206750	NA
SCN4A	Pituitary	Down	NA	NA
LPL	Liver	Down	NA	NA
LCAT	Liver	Down	11__1206750	11__1365428
APOA1	Liver	Down	NA	NA
RBFOX3	Liver	Up	NA	NA
NCAM1	Liver	Down	NA	NA
VTG1	Liver	Up	NA	NA
ATP2B2	Liver	Up	NA	NA
NEFH	Liver	Down	NA	NA
ACKR4	Ovary	Up	NA	NA
GCG	Ovary	Up	NA	NA
OTOF	Ovary	Down	NA	NA
IBSP	Ovary	Up	NA	NA
TMEM86A	Ovary	Up	NA	NA
TMEM45A	Ovary	Up	NA	NA
SYT8	Ovary	Down	NA	NA
SOX9	Ovary	Down	NA	NA
LOXL1	Ovary	Up	NA	NA
LHX1	Ovary	Down	NA	NA
PLTP	Ovary	Up	NA	NA
FGA	Ovary	Down	NA	NA
APOD	Ovary	Up	NA	NA
OTX2	Ovary	Down	NA	NA
AREG	Ovary	Down	NA	NA
LOC422654	Ovary	Down	NA	NA
APOV1	Ovary	Up	NA	NA
CALB2	Ovary	Up	11__1206750	NA
FGF2	Magnum	Up	NA	NA
GSL	Magnum	Down	NA	NA
NPY	Magnum	Down	NA	NA
CLDN5	Hypothalamus	Down	NA	NA
ABCA1	Pancreas	Down	NA	NA
SATB2	Uterus	Up	NA	NA
BMPR1B	Uterus	Down	NA	NA
STON1	Uterus	Up	rs313735923	NA
TYMS	Uterus	Down	NA	NA
POMC	Uterus	Up	NA	NA
DOCK4	Uterus	Up	NA	NA
GNG4	Uterus	Up	NA	NA
FGB	Uterus	Down	NA	NA
FSHR	Uterus	Up	rs313735923	NA
LHX5	Uterus	Down	NA	NA
APOF	Uterus	Down	NA	NA
EREG	Uterus	Up	NA	NA
GDF15	Uterus	Up	NA	NA
BDNF	Uterus	Up	NA	NA
INHBB	Uterus	Up	NA	NA
CIDEC	Pituitary	up	NA	NA
AICDA	Pituitary	down	NA	NA
CEBPD	Pituitary	down	NA	NA
DDIT4	Pituitary	down	NA	NA
CD36	Pituitary	down	NA	NA
CIDEA	Pituitary	up	NA	NA
CAV1	Pituitary	down	NA	NA
CYP7A1	Liver	up	NA	NA
AGPAT2	Liver	up	NA	NA
LPIN1	Liver	up	NA	NA
DHCR7	Liver	up	NA	NA
RGS2	Liver	up	NA	NA
HMGCR	Liver	up	NA	NA
HSD3B1	Liver	up	NA	NA
PIPOX	Liver	up	NA	NA
GLDC	Liver	up	NA	NA
CCL4	Liver	up	NA	NA
SREBF2	Liver	up	NA	NA
GLUL	Liver	up	NA	NA
OGFOD3	Liver	up	NA	NA
ABCG8	Liver	up	NA	NA
ASCL1	Liver	up	NA	NA
ACLY	Liver	up	NA	NA
PINX1	Liver	up	NA	NA
CX3CL1	Liver	up	11__1206750	NA
CCLI7	Liver	up	NA	NA
CCLI8	Liver	up	NA	NA
SHMT1	Liver	up	NA	NA
NPFFR2	Liver	up	NA	NA
LPIN2	Liver	up	NA	NA
PDHA2	Liver	up	NA	NA
MTHFR	Liver	up	NA	NA
IL11RA	Liver	up	NA	NA
MTR	Liver	up	NA	NA
UMOD	Liver	up	11__1206750	NA
DHFR	Liver	up	NA	NA
ATIC	Liver	up	NA	NA
TXNRD1	Liver	up	NA	NA
ACOX2	Liver	up	NA	NA
MVK	Liver	up	NA	NA
ABCG5	Liver	up	NA	NA
DAO	Liver	up	NA	NA
RRS1	Liver	up	NA	NA
SOAT1	Liver	up	NA	NA
IL1B	Liver	up	NA	NA
CALR	Liver	up	NA	NA
GNB3	Liver	up	NA	NA
HBEGF	Liver	up	NA	NA
PPARG	Liver	up	NA	NA
MTTP	Liver	up	NA	NA
TGFA	Liver	up	NA	NA
GNG2	Liver	up	NA	NA
STON2	Liver	up	NA	NA
UTP3	Liver	up	NA	NA
ESR1	Liver	up	NA	NA
PXDNL	Liver	up	NA	NA
VAT1	Liver	up	NA	NA
PDPR	Liver	up	11__1206750	NA
PEMT	Liver	up	NA	NA
TXNRD2	Liver	up	NA	NA
GCSH	Liver	up	NA	NA
AKAP12	Liver	up	NA	NA
FPGS	Liver	up	NA	NA
PES1	Liver	up	NA	NA
DHTKD1	Liver	up	NA	NA
PDHB	Liver	up	NA	NA
GAPDH	Liver	up	NA	NA
SHH	Liver	up	NA	NA
DDX24	Liver	up	NA	NA
PDCD11	Liver	up	NA	NA
HEPH	Liver	up	NA	NA
PSAT1	Uterus	down	NA	NA
HMGCS1	Uterus	down	NA	NA

